Cruise Embark Date,Age Banding,Cruise Ship Name,SubTrade,Lifestage,Lead Time (Days),Mosaic Group,Mosaic Type,Net Weekly HH Income,Total Children,Faretype,Cabin Meta,Cruise Experience,Cruises Completed with HAL,Region,Contactability,Duration
16/06/2018,65 - 74 Years,Westerdam,TransPacific,Retired Couples,432,Rural Reality,Far-Flung Outposts,,0,Select Fare,Deluxe Balcony,Past Guest,1,US West Coast Coast,Mailable Only,14
30/12/2017,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,59,Prestige Positions,Premium Fortunes,,0,Early Saver,Inside,Past Guest,5,US West Coast,Mailable and Emailable,14
17/02/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,59,Aspiring Homemakers,New Foundations,,0,Early Saver,Inside,Newcomer,0,Canada,Mailable and Emailable,14
17/02/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,59,Aspiring Homemakers,New Foundations,,0,Select Fare,Inside,Past Guest,2,US West Coast,Mailable and Emailable,14
19/07/2018,45 - 54 Years,Amsterdam,Australia/NZ,Family,170,Suburban Stability,Family Ties,,1,Select Fare,Inside,Newcomer,0,Canada,Mailable and Emailable,7
15/09/2018,45 - 54 Years,Koningsdam,Coastals,Empty Nesters,2,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Inside,Past Guest,11,Canada,Emailable Only,3
23/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,543,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable Only,14
23/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,543,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Newcomer,0,Canada,Mailable Only,14
14/07/2018,55 - 64 Years,Eurodam,Norway Fjord,Empty Nesters,239,Suburban Stability,Fledgling Free,,0,Select Fare,Inside,Past Guest,3,Canada,Mailable Only,7
9/1/2018,75 - 84 Years,Zaandam,World,Elderly Couples,360,Suburban Stability,Boomerang Boarders,,0,Select Fare,Balcony,Past Guest,2,Canada,Mailable and Emailable,19
15/04/2018,55 - 64 Years,Westerdam,Australia/NZ,Empty Nesters,108,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Balcony,Past Guest,2,Australia,Mailable Only,17
1/2/2018,55 - 64 Years,Koningsdam,Coastals,Empty Nesters,82,Domestic Success,Thriving Independence,,0,Select Fare,Balcony,Past Guest,7,Canada,Mailable and Emailable,4
6/4/2018,45 - 54 Years,Eurodam,Alaska RT Seattle,Family,366,Prestige Positions,Alpha Families,,1,Select Fare,Inside,Past Guest,2,Canada,Emailable Only,7
1/9/2018,55 - 64 Years,Eurodam,Alaska RT Seattle,Empty Nesters,157,Modest Traditions,Self Supporters,,0,Select Fare,Suite,Past Guest,17,Canada,Emailable Only,7
12/10/2018,55 - 64 Years,Eurodam,Alaska RT Seattle,Family,372,Prestige Positions,Premium Fortunes,,1,Select Fare,Balcony,Past Guest,6,Canada,Emailable Only,7
1/7/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,351,Rural Reality,Satellite Settlers,,0,Select Fare,Suite,Past Guest,61,US West Coast,Emailable Only,7
14/11/2018,75 - 84 Years,Westerdam,Western Mediterranean,Elderly Couples,327,Rural Reality,Satellite Settlers,,0,Select Fare,Suite,Past Guest,61,US West Coast,Mailable and Emailable,14
10/11/2018,75 - 84 Years,Nieuw Statendam,Caribbean Eastern,Elderly Couples,219,Senior Security,Legacy Elders,,0,Early Saver,Inside,Past Guest,1,Canada,Mailable Only,14
13/07/2018,55 - 64 Years,Prinsendam,Alaska RT Seattle,Empty Nesters,293,Suburban Stability,Fledgling Free,,0,Select Fare,Balcony,Newcomer,0,Canada,Emailable Only,7
21/07/2018,55 - 64 Years,Eurodam,Western Mediterranean,Empty Nesters,215,Country Living,Scattered Homesteads,,0,Select Fare,Outside,Past Guest,1,Canada,Emailable Only,14
16/12/2017,75 - 84 Years,Zaandam,Panama Canal,Elderly Couples,625,Senior Security,Legacy Elders,,0,Select Fare,Balcony,Newcomer,0,US West Coast,Mailable and Emailable,24
19/12/2017,35 - 44 Years,Westerdam,Baltic,PreFamily,79,Senior Security,Classic Grandparents,,0,Select Fare,Mini Suite,Past Guest,16,Canada,Emailable Only,10
23/05/2018,75 - 84 Years,Prinsendam,Australia/NZ,Elderly Couples,107,Modest Traditions,Down-to-Earth Owners,,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Mailable Only,19
11/2/2018,65 - 74 Years,Prinsendam,Atlantic Islands,Retired Couples,79,Vintage Value,Aided Elderly,,0,Select Fare,Balcony,Past Guest,5,US Central,Mailable and Emailable,12
4/7/2018,75 - 84 Years,Westerdam,Western Mediterranean,Elderly Couples,140,Senior Security,Classic Grandparents,,0,Select Fare,Outside,Past Guest,30,Canada,Mailable Only,17
2/8/2018,45 - 54 Years,Westerdam,Australia/NZ,Family,34,Aspiring Homemakers,First-Rung Futures,,1,Select Fare,Suite,Past Guest,1,Canada,Emailable Only,17
1/7/2018,75 - 84 Years,Koningsdam,Alaska RT Seattle,Family,102,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable Only,7
20/10/2018,75 - 84 Years,Koningsdam,Alaska RT Seattle,Family,23,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable and Emailable,7
3/1/2018,75 - 84 Years,Westerdam,Uk-Uk South America,Elderly Couples,113,Rural Reality,Satellite Settlers,,0,Saver,Inside,Past Guest,6,Canada,Mailable and Emailable,65
4/5/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,175,Prestige Positions,Alpha Families,,0,Select Fare,Balcony,Past Guest,7,Canada,Emailable Only,7
29/07/2018,75 - 84 Years,Koningsdam,Norway Fjord,Family,676,Country Living,Scattered Homesteads,,0,Select Fare,Inside,Past Guest,17,Canada,Emailable Only,7
3/10/2018,75 - 84 Years,Zaandam,Western Mediterranean,Older Singles,748,Country Living,Village Retirement,,0,Select Fare,Inside,Past Guest,17,Canada,Emailable Only,17
29/07/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,27,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Mini Suite,Newcomer,0,Canada,Emailable Only,14
11/5/2018,75 - 84 Years,Zaandam,Australia/NZ,Elderly Couples,72,Country Living,Village Retirement,,0,Select Fare,Inside,Past Guest,1,Canada,Mailable Only,17
6/5/2018,65 - 74 Years,Eurodam,Atlantic Islands,Retired Couples,189,Prestige Positions,Diamond Days,,0,Select Fare,Suite,Past Guest,11,Canada,Mailable and Emailable,13
2/9/2018,65 - 74 Years,Nieuw Statendam,Norway Fjord,Retired Couples,177,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Inside,Past Guest,1,US Central,Emailable Only,7
23/07/2018,45 - 54 Years,Prinsendam,Greenland,Empty Nesters,350,Family Basics,Budget Generations,,0,Early Saver,Inside,Past Guest,11,Canada,Mailable Only,17
11/11/2018,65 - 74 Years,Prinsendam,Panama Canal,Older Singles,200,Transient Renters,Renting a Room,,0,Select Fare,Deluxe Balcony,Past Guest,14,US West Coast Coast,Mailable Only,28
24/06/2018,65 - 74 Years,Nieuw Statendam,Baltic,Retired Couples,282,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Mini Suite,Past Guest,1,Canada,Mailable and Emailable,14
28/06/2018,65 - 74 Years,Amsterdam,Japan,Retired Couples,168,Vintage Value,Aided Elderly,,0,Select Fare,Inside,Past Guest,1,Canada,Mailable and Emailable,14
20/01/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,372,Country Living,Village Retirement,,0,Select Fare,Balcony,Past Guest,2,Canada,Emailable Only,14
11/5/2018,65 - 74 Years,Zaandam,Australia/NZ,Retired Couples,113,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Inside,Past Guest,4,Canada,Emailable Only,17
11/11/2018,55 - 64 Years,Prinsendam,Panama Canal,Empty Nesters,370,Domestic Success,Modern Parents,,0,Select Fare,Mini Suite,Newcomer,0,Canada,Mailable Only,28
9/3/2018,65 - 74 Years,Eurodam,Caribbean Transatlantic,Retired Couples,72,Domestic Success,Modern Parents,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable and Emailable,14
28/05/2018,75 - 84 Years,Zaandam,Western Mediterranean,Elderly Couples,266,Country Living,Village Retirement,,0,Select Fare,Outside,Past Guest,2,US West Coast,Emailable Only,17
10/2/2018,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,222,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Outside,Past Guest,8,Canada,Mailable and Emailable,14
27/05/2018,25 - 34 Years,Nieuw Statendam,Norway Fjord,Family,573,Rental Hubs,Bus-Route Renters,,2,Select Fare,Balcony,Past Guest,4,US West Coast,Mailable Only,7
27/07/2018,35 - 44 Years,Koningsdam,Coastals,PreFamily,468,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Inside,Past Guest,23,Canada,Mailable and Emailable,2
27/07/2018,35 - 44 Years,Koningsdam,Coastals,PreFamily,468,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Balcony,Past Guest,11,Canada,Mailable and Emailable,2
2/12/2017,55 - 64 Years,Eurodam,Caribbean Eastern,Empty Nesters,89,Suburban Stability,Fledgling Free,,0,Select Fare,Outside,Past Guest,1,Canada,Emailable Only,14
13/05/2018,35 - 44 Years,Nieuw Statendam,Norway Fjord,Family,74,Rural Reality,Satellite Settlers,,1,Select Fare,Inside,Past Guest,35,Canada,Emailable Only,7
27/09/2018,75 - 84 Years,Amsterdam,Australia/NZ,Elderly Couples,161,Country Living,Village Retirement,,0,Select Fare,Deluxe Balcony,Past Guest,13,Canada,Emailable Only,14
21/11/2018,65 - 74 Years,Amsterdam,Alaska RT Seattle,Retired Couples,43,Modest Traditions,Offspring Overspill,,0,Select Fare,Deluxe Balcony,Past Guest,5,US West Coast,Mailable and Emailable,10
1/2/2018,55 - 64 Years,Koningsdam,Coastals,Empty Nesters,4,Suburban Stability,Fledgling Free,,0,Select Fare,Deluxe Balcony,Past Guest,5,US West Coast,Emailable Only,4
15/12/2017,25 - 34 Years,Eurodam,Caribbean Southern,PreFamily,272,Domestic Success,Modern Parents,,0,Select Fare,Balcony,Past Guest,3,Europe,Mailable Only,14
12/1/2018,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,441,Urban Cohesion,Ageing Access,,0,Saver,Inside,Past Guest,4,Canada,Mailable and Emailable,14
24/06/2018,55 - 64 Years,Nieuw Statendam,Baltic,Empty Nesters,322,Rural Reality,Satellite Settlers,,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Mailable Only,14
28/11/2018,25 - 34 Years,Westerdam,North Cape,PreFamily,371,Aspiring Homemakers,New Foundations,,0,Select Fare,Mini Suite,Past Guest,15,Canada,Emailable Only,12
1/7/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,238,Prestige Positions,Empty-Nest Adventure,,1,Select Fare,Outside,Newcomer,0,US Central,Mailable Only,7
1/7/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,238,Prestige Positions,Empty-Nest Adventure,,1,Select Fare,Suite,Past Guest,16,Canada,Mailable and Emailable,7
29/04/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,60,Aspiring Homemakers,New Foundations,,0,Select Fare,Balcony,Past Guest,4,US West Coast Coast,Emailable Only,12
10/3/2018,65 - 74 Years,Eurodam,Caribbean Transatlantic,Retired Couples,54,Prestige Positions,Diamond Days,,0,Select Fare,Balcony,Past Guest,8,Canada,Mailable and Emailable,13
17/02/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,31,Prestige Positions,Alpha Families,,0,Select Fare,Inside,Past Guest,12,Canada,Mailable Only,14
3/1/2018,55 - 64 Years,Amsterdam,Panama Canal,Empty Nesters,359,Aspiring Homemakers,New Foundations,,0,Select Fare,Mini Suite,Past Guest,2,US West Coast Coast,Emailable Only,35
17/06/2018,75 - 84 Years,Koningsdam,Western Mediterranean,Elderly Couples,253,Vintage Value,Pocket Pensions,,0,Select Fare,Balcony,Past Guest,5,US West Coast Coast,Mailable and Emailable,14
30/12/2017,45 - 54 Years,Eurodam,Caribbean Southern,Empty Nesters,292,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Inside,Past Guest,4,US Central,Emailable Only,14
4/10/2018,55 - 64 Years,Amsterdam,Alaska RT YVR,Empty Nesters,10,Rural Reality,Satellite Settlers,,0,Select Fare,Inside,Past Guest,6,Canada,Mailable and Emailable,7
6/4/2018,35 - 44 Years,Nieuw Statendam,Coastals,Family,213,Rental Hubs,Bus-Route Renters,,0,Select Fare,Balcony,Past Guest,21,Canada,Emailable Only,2
2/4/2018,75 - 84 Years,Prinsendam,Atlantic Islands,Elderly Couples,188,Senior Security,Solo Retirees,,0,Saver,Inside,Past Guest,1,US Central,Emailable Only,18
9/1/2018,65 - 74 Years,Zaandam,World,Retired Couples,300,Rural Reality,Outlying Seniors,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable and Emailable,19
13/08/2018,45 - 54 Years,Prinsendam,Australia/NZ,Empty Nesters,155,Domestic Success,Thriving Independence,,0,Select Fare,Inside,Past Guest,16,Canada,Emailable Only,19
29/07/2018,45 - 54 Years,Koningsdam,Norway Fjord,Family,503,Suburban Stability,Dependable Me,,2,Select Fare,Deluxe Balcony,Past Guest,4,Canada,Mailable Only,7
9/9/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,198,Rural Reality,Satellite Settlers,,0,Select Fare,Inside,Past Guest,6,US West Coast,Mailable and Emailable,7
15/07/2018,35 - 44 Years,Nieuw Statendam,Alaska RT Seattle,Family,137,Municipal Challenge,Low Income Workers,,0,Saver,Balcony,Past Guest,11,Canada,Mailable and Emailable,7
23/08/2018,65 - 74 Years,Amsterdam,Japan,Retired Couples,295,Aspiring Homemakers,New Foundations,,0,Select Fare,Mini Suite,Past Guest,13,Canada,Mailable and Emailable,7
9/6/2018,65 - 74 Years,Eurodam,Baltic,Retired Couples,203,Senior Security,Bungalow Haven,,0,Select Fare,Balcony,Past Guest,1,Canada,Mailable and Emailable,14
21/12/2017,75 - 84 Years,Koningsdam,Atlantic Islands,Elderly Couples,67,Suburban Stability,Boomerang Boarders,,0,Select Fare,Inside,Past Guest,4,Canada,Mailable and Emailable,14
19/07/2018,45 - 54 Years,Amsterdam,Australia/NZ,Family,194,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Inside,Past Guest,1,Canada,Mailable and Emailable,7
7/2/2018,45 - 54 Years,Amsterdam,Coastals,Empty Nesters,348,Country Living,Rural Vogue,,0,Select Fare,Outside,Past Guest,12,Canada,Mailable and Emailable,4
14/06/2018,55 - 64 Years,Zaandam,Australia/NZ,Empty Nesters,507,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Past Guest,19,US West Coast,Mailable and Emailable,17
31/05/2018,65 - 74 Years,Amsterdam,Japan,Retired Couples,453,Suburban Stability,Fledgling Free,,0,Select Fare,Outside,Past Guest,24,US West Coast,Mailable Only,7
14/07/2018,25 - 34 Years,Eurodam,Norway Fjord,Family,470,Aspiring Homemakers,Contemporary Starts,,2,Select Fare,Balcony,Past Guest,26,US West Coast,Mailable Only,7
6/5/2018,65 - 74 Years,Eurodam,Atlantic Islands,Retired Couples,174,Senior Security,Bungalow Haven,,0,Select Fare,Balcony,Past Guest,6,Canada,Mailable Only,13
17/11/2018,55 - 64 Years,Eurodam,Caribbean Eastern,Empty Nesters,574,Country Living,Scattered Homesteads,,0,Saver,Balcony,Past Guest,1,Canada,Mailable Only,14
1/9/2018,65 - 74 Years,Prinsendam,Atlantic Islands,Retired Couples,353,Urban Cohesion,Ageing Access,,0,Select Fare,Balcony,Past Guest,13,Australia,Mailable and Emailable,16
8/4/2018,75 - 84 Years,Nieuw Statendam,Atlantic Islands,Elderly Couples,78,Aspiring Homemakers,New Foundations,,0,Select Fare,Deluxe Balcony,Past Guest,15,Australia,Mailable and Emailable,14
4/7/2018,55 - 64 Years,Westerdam,Western Mediterranean,Empty Nesters,144,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Past Guest,5,Canada,Mailable Only,17
8/5/2018,65 - 74 Years,Prinsendam,Atlantic Islands,Older Singles,203,Municipal Challenge,Inner City Stalwarts,,0,Select Fare,Balcony,Past Guest,4,Australia,Mailable and Emailable,15
10/11/2018,55 - 64 Years,Nieuw Statendam,Caribbean Eastern,Family,266,Domestic Success,Modern Parents,,0,Select Fare,Balcony,Past Guest,9,Canada,Mailable and Emailable,14
3/1/2018,65 - 74 Years,Amsterdam,Panama Canal,Retired Couples,474,Rural Reality,Satellite Settlers,,0,Select Fare,Balcony,Newcomer,0,Canada,Mailable and Emailable,35
3/3/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,64,Aspiring Homemakers,Primary Ambitions,,0,Early Saver,Balcony,Newcomer,0,Canada,Emailable Only,14
25/05/2018,25 - 34 Years,Koningsdam,Coastals,PreFamily,19,City Prosperity,Uptown Elite,,0,Early Saver,Balcony,Past Guest,5,Canada,Mailable and Emailable,2
2/4/2018,75 - 84 Years,Prinsendam,Atlantic Islands,Elderly Couples,77,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Inside,Past Guest,1,Canada,Mailable Only,18
1/9/2018,45 - 54 Years,Prinsendam,Atlantic Islands,Empty Nesters,666,Suburban Stability,Boomerang Boarders,,0,Select Fare,Inside,Past Guest,31,US West Coast,Emailable Only,16
11/2/2018,75 - 84 Years,Amsterdam,Panama Canal,Elderly Couples,14,Prestige Positions,Diamond Days,,0,Select Fare,Inside,Past Guest,28,Canada,Mailable Only,28
15/07/2018,45 - 54 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,199,Prestige Positions,Empty-Nest Adventure,,0,Saver,Balcony,Past Guest,16,Canada,Mailable and Emailable,7
26/11/2018,65 - 74 Years,Koningsdam,Atlantic Islands,Family,52,Suburban Stability,Boomerang Boarders,,0,Select Fare,Inside,Past Guest,2,Canada,Mailable Only,13
17/08/2018,75 - 84 Years,Zaandam,Baltic,Elderly Couples,224,Prestige Positions,Diamond Days,,0,Select Fare,Outside,Past Guest,18,Canada,Emailable Only,14
24/08/2018,65 - 74 Years,Koningsdam,Coastals,Older Singles,373,Suburban Stability,Primary Ambitions,,0,Select Fare,Outside,Past Guest,9,Canada,Mailable Only,2
5/7/2018,45 - 54 Years,Amsterdam,Australia/NZ,Empty Nesters,322,Domestic Success,Modern Parents,,0,Select Fare,Outside,Past Guest,9,Canada,Emailable Only,7
24/10/2018,65 - 74 Years,Prinsendam,Western Mediterranean,Retired Couples,252,Rural Reality,Outlying Seniors,,0,Saver,Mini Suite,Past Guest,9,Australia,Mailable Only,18
30/12/2017,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,631,Country Living,Scattered Homesteads,,0,Select Fare,Inside,Past Guest,6,Canada,Mailable Only,14
16/05/2018,75 - 84 Years,Westerdam,Coastals,Elderly Couples,138,Prestige Positions,Diamond Days,,0,Select Fare,Deluxe Balcony,Past Guest,3,Canada,Mailable Only,3
25/08/2018,75 - 84 Years,Eurodam,Norway Fjord,Elderly Couples,70,Prestige Positions,Diamond Days,,0,Select Fare,Outside,Past Guest,2,Canada,Emailable Only,7
7/6/2018,45 - 54 Years,Amsterdam,Australia/NZ,Empty Nesters,484,Municipal Challenge,Streetwise Singles,,0,Select Fare,Balcony,Past Guest,4,Canada,Emailable Only,14
23/03/2018,75 - 84 Years,Eurodam,Western Mediterranean,Elderly Couples,90,Country Living,Village Retirement,,0,Select Fare,Inside,Past Guest,2,Canada,Mailable Only,14
25/06/2018,55 - 64 Years,Prinsendam,Australia/NZ,Empty Nesters,118,Suburban Stability,Family Ties,,0,Saver,Balcony,Past Guest,4,Canada,Mailable Only,18
1/2/2018,25 - 34 Years,Koningsdam,Coastals,PreFamily,33,Rural Reality,Satellite Settlers,,0,Select Fare,Inside,Past Guest,3,Canada,Mailable and Emailable,4
7/12/2017,45 - 54 Years,Prinsendam,Atlantic Islands,Empty Nesters,70,Senior Security,Classic Grandparents,,0,Select Fare,Outside,Past Guest,4,Canada,Mailable and Emailable,14
9/12/2017,25 - 34 Years,Nieuw Statendam,Caribbean Eastern,PreFamily,335,Prestige Positions,Alpha Families,,0,Select Fare,Inside,Past Guest,4,Canada,Emailable Only,14
30/09/2018,55 - 64 Years,Nieuw Statendam,Atlantic Islands,Empty Nesters,182,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Emailable Only,12
19/05/2018,65 - 74 Years,Westerdam,Baltic,Retired Couples,611,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Emailable Only,16
12/10/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,203,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Outside,Past Guest,21,Canada,Mailable Only,14
12/10/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,203,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Balcony,Past Guest,1,Japan,Emailable Only,14
12/10/2018,75 - 84 Years,Nieuw Statendam,Western Mediterranean,Elderly Couples,36,Vintage Value,Pocket Pensions,,0,Select Fare,Balcony,Newcomer,0,Canada,Emailable Only,14
17/08/2018,55 - 64 Years,Zaandam,Baltic,Empty Nesters,313,Aspiring Homemakers,New Foundations,,0,Select Fare,Deluxe Balcony,Past Guest,2,Japan,Mailable Only,14
30/11/2018,65 - 74 Years,Eurodam,Caribbean Eastern,Retired Couples,72,Modest Traditions,Down-to-Earth Owners,,0,Select Fare,Inside,Past Guest,3,Canada,Emailable Only,14
8/6/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,338,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Inside,Past Guest,10,Canada,Mailable and Emailable,7
16/12/2017,75 - 84 Years,Zaandam,Panama Canal,Elderly Couples,304,Senior Security,Bungalow Haven,,0,Select Fare,Inside,Newcomer,0,Canada,Emailable Only,24
27/05/2018,55 - 64 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,322,Rural Reality,Satellite Settlers,,0,Select Fare,Balcony,Past Guest,2,Canada,Emailable Only,7
14/06/2018,55 - 64 Years,Zaandam,Australia/NZ,Empty Nesters,614,Suburban Stability,Boomerang Boarders,,0,Early Saver,Inside,Past Guest,5,Canada,Mailable Only,17
8/12/2017,25 - 34 Years,Nieuw Statendam,Caribbean Eastern,PreFamily,35,Aspiring Homemakers,Contemporary Starts,,0,Early Saver,Inside,Past Guest,5,Canada,Emailable Only,14
18/09/2018,55 - 64 Years,Koningsdam,Australia/NZ,Empty Nesters,443,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Deluxe Balcony,Past Guest,18,Canada,Mailable Only,17
3/9/2018,65 - 74 Years,Zaandam,Canada / New England,Retired Couples,85,Senior Security,Solo Retirees,,0,Early Saver,Balcony,Past Guest,1,Australia,Mailable and Emailable,30
22/12/2017,35 - 44 Years,Nieuw Statendam,Caribbean Southern,Family,487,Prestige Positions,Premium Fortunes,,2,Early Saver,Outside,Past Guest,3,Canada,Mailable Only,14
16/09/2018,35 - 44 Years,Nieuw Statendam,Western Mediterranean,PreFamily,739,Aspiring Homemakers,Affordable Fringe,,0,Select Fare,Balcony,Past Guest,20,Canada,Mailable and Emailable,14
9/3/2018,55 - 64 Years,Eurodam,Caribbean Transatlantic,Family,121,Aspiring Homemakers,New Foundations,,0,Early Saver,Balcony,Past Guest,1,Canada,Mailable and Emailable,14
11/5/2018,55 - 64 Years,Koningsdam,Western Mediterranean,Empty Nesters,236,Municipal Challenge,Streetwise Singles,,0,Select Fare,Balcony,Past Guest,18,US Central,Emailable Only,14
3/3/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,685,Suburban Stability,Boomerang Boarders,,0,Early Saver,Inside,Past Guest,2,US West Coast,Emailable Only,14
8/7/2018,55 - 64 Years,Zaandam,Baltic,Empty Nesters,23,Rental Hubs,Career Builders,,0,Select Fare,Outside,Past Guest,6,Canada,Mailable and Emailable,14
20/10/2018,25 - 34 Years,Koningsdam,Alaska RT Seattle,PreFamily,280,Aspiring Homemakers,Affordable Fringe,,0,Select Fare,Inside,Past Guest,8,Australia,Emailable Only,7
